Gene_ID	GO_Terms
AT1G07370	['GO:0005515', 'GO:0030337']
AT1G07380	['GO:0017040']
AT1G07400	['GO:0005515']
AT1G07410	['GO:0003924']
AT1G07420	['GO:0000254', 'GO:0005506']
AT1G07430	['GO:0005515', 'GO:0017018']
AT1G07440	['GO:0016491']
AT1G07460	['GO:0004674']
AT1G07500	['GO:0005515']
AT1G07510	['GO:0004176', 'GO:0004222', 'GO:0008270', 'GO:0016887']
AT1G07520	['GO:0000976']
AT1G07530	['GO:0000976', 'GO:0003700', 'GO:0005515']
AT1G07550	['GO:0004674', 'GO:0005515', 'GO:0016301']
AT1G07560	['GO:0004674', 'GO:0005515', 'GO:0016301']
AT1G07570	['GO:0004672', 'GO:0004674', 'GO:0005524']
AT1G07580	['GO:0030533']
AT1G07600	['GO:0005507', 'GO:0046872']
AT1G07610	['GO:0005507']
AT1G07615	['GO:0000287', 'GO:0003924']
AT1G07630	['GO:0017018']
AT1G07640	['GO:0000976', 'GO:0003700']
AT1G07650	['GO:0004672', 'GO:0004674', 'GO:0005515', 'GO:0016301']
AT1G07660	['GO:0030527', 'GO:0046982']
AT1G07670	['GO:0005388', 'GO:0016887']
AT1G07705	['GO:0005515']
AT1G07720	['GO:0009922']
AT1G07725	['GO:0005546']
AT1G07745	['GO:0003677', 'GO:0005515', 'GO:0005524', 'GO:0140664']
AT1G07750	['GO:0005507', 'GO:0008270']
AT1G07760	['GO:0030533']
AT1G07780	['GO:0004640']
AT1G07790	['GO:0005515', 'GO:0030527', 'GO:0046982']
AT1G07810	['GO:0005388', 'GO:0016887']
AT1G07830	['GO:0003735']
AT1G07850	['GO:0016757']
AT1G07870	['GO:0004672', 'GO:0004674']
AT1G07880	['GO:0004707', 'GO:0005515']
AT1G07890	['GO:0005515', 'GO:0016688', 'GO:0020037', 'GO:0046409']
AT1G07900	['GO:0001216']
AT1G07910	['GO:0003729', 'GO:0003972', 'GO:0004113', 'GO:0051731']
AT1G07920	['GO:0003729', 'GO:0003924']
AT1G07930	['GO:0003729', 'GO:0003924']
AT1G07940	['GO:0003729', 'GO:0003924']
AT1G07950	['GO:0003712', 'GO:0005515']
AT1G07980	['GO:0000976', 'GO:0003700', 'GO:0005515', 'GO:0046982']
AT1G07990	['GO:0019903']
AT1G08000	['GO:0003700', 'GO:0005515', 'GO:0008270', 'GO:0043565']
AT1G08010	['GO:0003700', 'GO:0008270', 'GO:0043565']
AT1G08030	['GO:0008476']
AT1G08040	['GO:0016757']
AT1G08060	['GO:0005515', 'GO:0032183', 'GO:0042802', 'GO:0042803']
AT1G08065	['GO:0004089', 'GO:0008270']
AT1G08070	['GO:0003723', 'GO:0005515', 'GO:0008270']
AT1G08080	['GO:0004089', 'GO:0008270']
AT1G08090	['GO:0015112']
AT1G08100	['GO:0015112']
AT1G08110	['GO:0004462']
AT1G08120	['GO:0004674']
AT1G08130	['GO:0003677', 'GO:0003910']
AT1G08140	['GO:0015385']
AT1G08150	['GO:0015385']
AT1G08170	['GO:0030527', 'GO:0046982']
AT1G08180	['GO:0005515']
AT1G08200	['GO:0016831', 'GO:0048040']
AT1G08230	['GO:0015185']
AT1G08240	['GO:0030533']
AT1G08250	['GO:0004664', 'GO:0047769']
AT1G08260	['GO:0000166', 'GO:0003887', 'GO:0005515', 'GO:0008270']
AT1G08280	['GO:0005515', 'GO:0008373', 'GO:0008378']
AT1G08290	['GO:0003700']
AT1G08320	['GO:0000976', 'GO:0003700', 'GO:0005515', 'GO:0042803']
AT1G08350	['GO:0005484']
AT1G08360	['GO:0003723']
AT1G08370	['GO:0005515', 'GO:0008047', 'GO:0042803']
AT1G08380	['GO:0003729', 'GO:0005515']
AT1G08410	['GO:0003924', 'GO:0043022']
