COMP_GENE_A	COMP_GENE_B
AT2G33760	AT1G77360
AT2G33760	AT5G64600
AT2G33760	AT1G29770
AT2G33760	AT5G12260
AT2G33760	AT4G33625
AT2G33760	AT1G63260
AT2G33760	AT3G19440
AT2G33760	AT1G30970
AT2G33760	AT5G59400
AT2G33760	AT1G34630
AT2G33760	AT5G19300
AT2G33760	AT5G19500
AT2G33760	AT4G19150
AT2G33760	AT3G56830
AT2G33760	AT4G00030
AT2G33760	AT4G29170
AT2G33760	AT1G74580
AT2G33760	AT1G80080
AT1G31920	AT2G30300
AT1G31920	AT4G03210
AT1G31920	AT3G12030
AT1G31920	AT1G24290
AT2G02980	AT4G40050
AT2G02980	AT3G18500
AT2G02980	AT1G72650
AT2G02980	AT5G48040
AT2G02980	AT3G44160
AT3G47530	AT3G03380
AT3G47530	AT1G77010
AT3G47530	AT1G09280
AT5G19640	AT4G38800
AT5G19640	AT3G62600
AT5G19640	AT4G20410
AT5G19640	AT4G13150
AT5G19640	AT1G28190
AT5G19640	AT2G26900
AT5G19640	AT1G28210
AT2G40460	AT5G06850
AT2G40460	AT3G05470
AT2G40460	AT2G36840
AT2G40460	AT5G49360
AT2G40460	AT5G13720
AT2G40460	AT5G08100
AT2G40460	AT5G46700
AT2G40460	AT3G17880
AT2G40460	AT3G12680
AT2G40460	AT5G14030
AT2G40460	AT1G67370
AT2G40460	AT4G04980
AT2G40460	AT4G10465
AT2G40460	AT5G23600
AT2G40460	AT3G15820
AT2G40460	AT4G14930
AT2G40460	AT4G34700
AT2G40460	AT1G27070
AT2G40460	AT3G12930
AT2G40460	AT5G11810
AT2G40460	AT5G51110
AT3G01350	AT5G62940
AT3G01350	AT2G26150
AT3G01350	AT1G60140
AT3G01350	AT2G20520
AT3G01350	AT3G60720
AT3G01350	AT5G58490
AT3G01350	AT1G75500
AT3G01350	AT4G00370
AT3G01350	AT4G35060
AT3G01350	AT3G51770
AT3G01350	AT2G45470
AT3G01350	AT1G51630
AT3G01350	AT5G64330
AT3G01350	AT4G27700
AT2G37900	AT3G11440
AT2G37900	AT3G02820
AT2G37900	AT2G42350
AT2G16720	AT3G21420
AT2G16720	AT5G53950
AT2G16720	AT5G10510
AT2G16720	AT2G16740
AT2G16720	AT1G31320
AT2G16720	AT5G20590
AT2G16720	AT3G13850
AT2G16720	AT5G18460
AT2G16720	AT3G01990
AT2G16720	AT5G17640
AT2G16720	AT1G65060
AT2G16720	AT1G48930
AT2G16720	AT3G10040
AT2G16720	AT1G10850
AT2G16720	AT5G17720
AT2G16720	AT5G48270
AT2G16720	AT1G75710
AT2G16720	AT5G66720
AT2G16720	AT1G30220
AT2G16720	AT3G11440
AT2G16720	AT2G30340
AT2G16720	AT3G18850
AT2G16720	AT5G10160
AT2G16720	AT4G29880
AT2G16720	AT3G16920
AT2G16720	AT2G13690
AT2G16720	AT1G51450
AT2G16720	AT5G12190
AT2G16720	AT2G36640
AT2G16720	AT5G50320
AT2G16720	AT1G74700
AT2G16720	AT5G17930
AT2G16720	AT3G21280
AT2G16720	AT1G05900
AT2G16720	AT1G78800
AT2G16720	AT3G19970
AT2G16720	AT3G63290
AT2G16720	AT2G44570
AT2G16720	AT3G28040
AT2G16720	AT1G32550
AT2G16720	AT5G47570
AT2G16720	AT5G46680
AT2G16720	AT1G01940
AT2G16720	AT3G19850
AT2G16720	AT3G02820
AT2G16720	AT4G20770
AT2G16720	AT2G47600
AT2G16720	AT3G48990
AT2G16720	AT4G01880
AT2G16720	AT4G34530
AT2G16720	AT2G03070
AT2G16720	AT2G36570
AT2G16720	AT1G17870
AT2G16720	AT3G20015
AT2G16720	AT3G13120
AT2G16720	AT3G47700
AT2G16720	AT5G16460
AT2G16720	AT1G64680
AT2G16720	AT5G45310
AT2G16720	AT5G13400
AT2G16720	AT3G56010
AT2G16720	AT5G56850
AT2G16720	AT2G42350
AT2G16720	AT5G54080
AT2G16720	AT1G32520
AT2G16720	AT4G10020
AT4G01680	AT1G59730
AT4G01680	AT3G47490
AT4G01680	AT2G14050
AT4G01680	AT4G23620
AT4G01680	AT4G33030
AT4G01680	AT2G24800
AT4G01680	AT5G35100
AT3G08500	AT2G01360
AT3G08500	AT2G39140
AT2G32460	AT1G73190
AT2G32460	AT3G49530
AT2G32460	AT5G19010
AT2G32460	AT2G26150
AT2G32460	AT1G31320
AT2G32460	AT5G18460
AT2G32460	AT1G09630
AT2G32460	AT3G54030
AT2G32460	AT5G65090
AT2G32460	AT1G47670
AT2G32460	AT2G21590
AT2G32460	AT2G42600
AT2G32460	AT4G25500
AT2G32460	AT3G07020
AT2G32460	AT1G68740
AT2G32460	AT2G29070
AT2G32460	AT1G59540
AT2G32460	AT5G21050
AT2G32460	AT5G16930
AT2G32460	AT2G17950
AT2G32460	AT3G15000
AT2G32460	AT3G57520
AT2G32460	AT5G64200
AT2G32460	AT5G06130
AT2G32460	AT1G05310
AT2G32460	AT1G28470
AT2G32460	AT3G52980
AT2G32460	AT4G12070
AT2G32460	AT3G47520
AT2G32460	AT2G24070
AT2G32460	AT4G28890
AT2G32460	AT4G34230
AT2G32460	AT2G40810
AT2G32460	AT5G67030
AT2G32460	AT2G27460
AT2G32460	AT3G24490
AT2G32460	AT2G36640
AT2G32460	AT3G05420
AT2G32460	AT5G51410
AT2G32460	AT5G13950
AT2G32460	AT1G11800
AT2G32460	AT2G21610
AT2G32460	AT2G37260
AT2G32460	AT5G02140
AT2G32460	AT1G32080
AT2G32460	AT1G21650
AT2G32460	AT5G09995
AT2G32460	AT1G34630
AT2G32460	AT5G48390
AT2G32460	AT3G12685
AT2G32460	AT5G19500
AT2G32460	AT3G55330
AT2G32460	AT3G18890
AT2G32460	AT5G11550
AT2G32460	AT4G05150
AT2G32460	AT2G13540
AT2G32460	AT5G06400
AT2G32460	AT4G00030
AT2G32460	AT1G27050
AT2G32460	AT5G46150
AT2G32460	AT1G08530
AT2G32460	AT1G48280
AT2G32460	AT4G00467
AT4G26930	AT1G77370
AT4G26930	AT5G27950
AT4G26930	AT1G21870
AT4G26930	AT5G60570
AT4G26930	AT3G07560
AT4G26930	AT5G58110
AT4G26930	AT5G44550
AT4G26930	AT1G21840
AT3G16770	AT1G58340
AT3G16770	AT2G41510
AT3G16770	AT5G53970
AT3G16770	AT1G03790
AT3G16770	AT1G31130
AT3G16770	AT3G02350
AT3G16770	AT3G05675
AT3G16770	AT4G34740
AT3G16770	AT2G35370
